playlist-header,Playlist
control-categories--slide,Slide
prev-item-btn-label,Prev Item
next-item-btn-label,Next Item
prev-slide-btn-label,Prev Slide
next-slide-btn-label,Next Slide
jump-to-slide-btn-label,Jump to Slide
blank-btn-label,Blank
unblank-btn-label,Unblank
edit-item-btn-label,Edit Item
edit-item-adv-btn-label,Edit Item Adv
add-item-btn-label,Add Item
control-categories--playlist,Playlist
open-playlist-btn,Open Playlist
new-playlist-btn,New Playlist
save-playlist-btn,Save Playlist
playlist-name,No playlist currently open
control-categories--slideshow,Windows
open-slideshow-btn,Open Slideshow
close-slideshow-btn,Close Slideshow
control-categories--timer,Timer
preview-header,Preview
control-categories--language,Language
control-categories--remote,Remote Control
server-connect-btn,Connect to server
